Vout	I1	R	I2	V1	V2	Itot	Log(Vout)	Log(Itot)	Pre-Set		Set		Return	
V	A	ohm	A	V	V	A	V	A	1.004721701	-5.072549439	3.088819614	-4.227175004	0.996596798	-2.239642653
1.8655	0.0104246	178.9517104	-0.0104234	1.8655	0	0.010424	0.270795253	-1.981965597						
1.856	0.0103742	178.9053614	-0.0103742	1.856	0	0.0103742	0.268577972	-1.984045384						
1.8465	0.0103254	178.8308443	-0.0103282	1.8465	0	0.0103268	0.266349312	-1.986034234						
1.83675	0.0102776	178.7139021	-0.010277	1.83675	0	0.0102773	0.264050049	-1.988120966						
1.82725	0.0102266	178.6761974	-0.010227	1.82725	0	0.0102268	0.261797971	-1.990260237						
1.8175	0.0101746	178.631101	-0.0101748	1.8175	0	0.0101747	0.25947442	-1.992478387						
1.808	0.010125	178.5679012	-0.0101244	1.808	0	0.0101247	0.257198426	-1.994617836						
1.7985	0.010074	178.5288862	-0.0100746	1.7985	0	0.0100743	0.254910442	-1.996785121						
1.78875	0.0100236	178.4538489	-0.0100228	1.78875	0	0.0100232	0.252549647	-1.998993604						
1.77925	0.0099718	178.4281674	-0.0099718	1.77925	0	0.0099718	0.250236974	-2.001226441						
1.7695	0.0099204	178.3698238	-0.0099204	1.7695	0	0.0099204	0.247850567	-2.003470816						
1.76	0.0098698	178.3217492	-0.0098692	1.76	0	0.0098695	0.245512668	-2.005704849						
1.7505	0.0098196	178.2659171	-0.009819	1.7505	0	0.0098193	0.243162115	-2.007919471						
1.74075	0.0097668	178.2313552	-0.009766	1.74075	0	0.0097664	0.240736404	-2.010265492						
1.73125	0.009716	178.1854673	-0.0097152	1.73125	0	0.0097156	0.238359786	-2.012530374						
1.7215	0.009663	178.1537825	-0.009662	1.7215	0	0.0096625	0.235907027	-2.014910493						
1.712	0.0096106	178.1366408	-0.0096104	1.712	0	0.0096105	0.23350376	-2.017254017						
1.7025	0.0095604	178.0783231	-0.0095588	1.7025	0	0.0095596	0.231087121	-2.019560279						
1.69275	0.0095068	178.0567594	-0.0095066	1.69275	0	0.0095067	0.228592822	-2.021970211						
1.68325	0.009456	178.0086717	-0.0094554	1.68325	0	0.0094557	0.226148623	-2.024306315						
1.6735	0.0094018	177.9978302	-0.0094014	1.6735	0	0.0094016	0.223625717	-2.02679823						
1.664	0.0093504	177.9603012	-0.00935	1.664	0	0.0093502	0.221153322	-2.0291791						
1.6545	0.0094282	175.4841857	-0.0094266	1.6545	0	0.0094274	0.218666771	-2.025608066						
1.64475	0.0093688	175.5561011	-0.0093674	1.64475	0	0.0093681	0.216099895	-2.028348482						
1.63525	0.0093122	175.6029724	-0.0093122	1.63525	0	0.0093122	0.213584158	-2.030947705						
1.6255	0.0092594	175.5513316	-0.0092584	1.6255	0	0.0092589	0.210986974	-2.033440606						
1.616	0.0092038	175.5796519	-0.0092034	1.616	0	0.0092036	0.208441356	-2.036042265						
1.6065	0.0091508	175.5584211	-0.009151	1.6065	0	0.0091509	0.20588073	-2.038536191						
1.59675	0.009097	175.5248983	-0.0090968	1.59675	0	0.0090969	0.203236925	-2.041106579						
1.58725	0.0090452	175.4798125	-0.009045	1.58725	0	0.0090451	0.200645336	-2.043586627						
1.5775	0.0089912	175.4493282	-0.0089904	1.5775	0	0.0089908	0.197969368	-2.046201663						
1.568	0.008937	175.4503748	-0.008937	1.568	0	0.008937	0.195346058	-2.048808242						
1.5585	0.0088852	175.4040427	-0.0088844	1.5585	0	0.0088848	0.192706807	-2.051352344						
